Zeit;Kanal A;Kanal B;Kanal C;Kanal D
(s);(V);(V);(V);(V)

0,20600001;4,98977600;4,13342700;6,99057000;0,04333628
0,20800001;4,99496500;4,13861500;7,00125100;0,04333628
0,21000001;4,99496500;4,13342700;7,00643900;0,08545183
0,21200001;4,99496500;4,13342700;7,00643900;0,10132150
0,21400001;4,98977600;4,13861500;7,00125100;0,04852443
0,21600001;5,00045800;4,13861500;7,00125100;-0,02014222
0,21800001;4,99496500;4,14410800;7,00643900;-0,04638813
0,22000001;4,98977600;4,13861500;7,00125100;-0,07843257
0,22200001;5,00045800;4,12823900;6,99057000;-0,07843257
0,22400001;4,99496500;4,13861500;6,99575800;-0,04119999
0,22600001;5,00045800;4,12823900;6,99575800;0,03265481
0,22800001;4,99496500;4,13342700;6,99057000;0,04852443
0,23000001;5,00564600;4,13342700;6,99575800;0,08545183
0,23200001;4,99496500;4,13861500;7,00125100;0,08026368
0,23400001;5,00564600;4,13861500;6,99057000;0,03784295
0,23600001;4,99496500;4,13861500;6,99575800;-0,03051851
0,23800001;5,00045800;4,12823900;6,99575800;-0,04638813
0,24000001;5,00045800;4,13861500;7,00125100;-0,08880886
0,24200001;5,01632700;4,13861500;7,00643900;-0,08362071
0,24400001;5,01632700;4,13342700;7,00643900;-0,04119999
0,24600001;4,98977600;4,12823900;6,99575800;0,03784295
0,24800001;5,00045800;4,13861500;6,99057000;0,05371258
0,25000001;4,99496500;4,13861500;6,99575800;0,09094515
0,25200001;4,98977600;4,12823900;6,99575800;0,08545183
0,25400001;4,99496500;4,13342700;6,99575800;0,04333628
0,25600001;5,00564600;4,13342700;7,00125100;-0,03051851
0,25800001;5,01113900;4,13342700;6,99575800;-0,05188147
0,26000001;5,00045800;4,12823900;7,00125100;-0,08362071
0,26200001;5,01113900;4,13861500;7,00643900;-0,08362071
0,26400001;4,98428300;4,13861500;6,98507600;-0,04119999
0,26600001;5,00045800;4,12823900;6,99575800;0,01678518
0,26800001;5,00564600;4,12823900;6,99575800;0,04852443
0,27000001;4,98977600;4,13861500;6,99575800;0,08026368
0,27200001;4,98428300;4,13861500;7,01193300;0,08545183
0,27400001;5,01113900;4,13861500;7,01193300;0,02746666
0,27600001;5,01113900;4,13861500;7,00643900;-0,03051851
0,27800001;4,99496500;4,13342700;7,00643900;-0,04119999
0,28000001;4,99496500;4,14929700;7,00125100;-0,08362071
0,28200001;5,01113900;4,13342700;6,99575800;-0,08880886
0,28400001;5,00045800;4,13342700;7,00125100;-0,03051851
0,28600001;5,00045800;4,13342700;7,00125100;0,02746666
0,28800001;5,00564600;4,13861500;6,99057000;0,04333628
0,29000001;5,00045800;4,12823900;7,00125100;0,09094515
0,29200001;5,00564600;4,13861500;7,00125100;0,08545183
