Zeit;Kanal A;Kanal B;Kanal C;Kanal D
(s);(V);(V);(V);(V)

0,20800001;5,99597200;5,24765800;5,50523400;0,00091556
0,21000001;6,00665300;5,25833900;5,50523400;0,00610370
0,21200001;5,99597200;5,25833900;5,50004600;-0,00427259
0,21400001;6,00146500;5,24247000;5,50004600;0,00091556
0,21600001;6,00146500;5,25315100;5,50004600;0,01129185
0,21800001;5,99597200;5,25315100;5,50004600;0,01129185
0,22000001;6,00146500;5,24247000;5,50004600;-0,00427259
0,22200001;5,99597200;5,25315100;5,50004600;0,00610370
0,22400001;6,01214600;5,24247000;5,50523400;-0,00427259
0,22600001;6,00146500;5,25315100;5,51072700;0,00610370
0,22800001;5,99597200;5,24765800;5,50004600;0,00610370
0,23000001;5,99597200;5,25315100;5,51072700;0,00610370
0,23200001;6,00665300;5,24247000;5,50004600;0,01129185
0,23400001;6,00146500;5,24765800;5,50523400;0,00091556
0,23600001;5,99078300;5,25315100;5,50523400;0,00091556
0,23800001;6,00665300;5,25315100;5,50004600;-0,00427259
0,24000001;5,99078300;5,25315100;5,49455300;-0,00946074
0,24200001;6,00665300;5,25315100;5,50004600;0,00091556
0,24400001;6,01214600;5,25315100;5,49455300;-0,00946074
0,24600001;6,01214600;5,24765800;5,50004600;-0,00427259
0,24800001;5,99597200;5,25315100;5,49455300;-0,00427259
0,25000001;6,00146500;5,24247000;5,51072700;0,00610370
0,25200001;6,00146500;5,25315100;5,50004600;0,00610370
0,25400001;6,00146500;5,25833900;5,50523400;0,00091556
0,25600001;6,00146500;5,24765800;5,49455300;0,00091556
0,25800001;6,00146500;5,25315100;5,50523400;-0,00427259
0,26000001;5,99597200;5,24765800;5,47868300;0,01129185
0,26200001;6,00665300;5,24765800;5,49455300;-0,00946074
0,26400001;6,00665300;5,25315100;5,49455300;-0,00427259
0,26600001;5,99597200;5,24247000;5,49455300;0,00091556
0,26800001;6,01214600;5,24765800;5,50004600;0,00091556
0,27000001;6,01214600;5,25315100;5,50004600;-0,00427259
0,27200001;6,00665300;5,24247000;5,50004600;-0,00946074
0,27400001;6,00146500;5,24765800;5,49455300;0,00091556
0,27600001;5,99597200;5,25315100;5,48936400;0,00610370
0,27800001;6,00146500;5,24247000;5,50004600;0,00091556
0,28000001;5,99597200;5,24765800;5,50004600;0,00610370
0,28200001;6,00146500;5,24765800;5,51072700;0,00091556
0,28400001;6,00665300;5,25315100;5,50004600;0,00091556
0,28600001;5,99597200;5,24765800;5,49455300;-0,00946074
0,28800001;6,00146500;5,25315100;5,50004600;0,00091556
0,29000001;6,00665300;5,24247000;5,51072700;-0,00427259
0,29200001;6,01733400;5,25315100;5,50004600;0,00610370
0,29400001;6,00665300;5,25315100;5,50523400;0,00091556
0,29600001;6,00665300;5,24765800;5,51072700;0,00091556
0,29800001;5,99078300;5,24765800;5,50523400;-0,00427259
0,30000001;6,00146500;5,25833900;5,50004600;-0,00946074
0,30200001;6,00665300;5,24247000;5,50004600;0,00610370
0,30400001;5,99597200;5,25315100;5,49455300;0,00091556
0,30600001;6,00665300;5,24247000;5,51072700;-0,00946074
0,30800001;5,99597200;5,24765800;5,50523400;0,00091556
0,31000001;6,00146500;5,24247000;5,50523400;0,00610370
